season,matches,rmse,mae,corr
2616.0,1323.0,2.0069027424666124,1.5859856454398211,0.4705819041148973
2617.0,1323.0,2.0136732219465294,1.603390741546906,0.4693109169699286
2618.0,1323.0,2.0044880825159854,1.5942522544955582,0.47025245339744354
2619.0,1323.0,1.9771849772794274,1.5672426366511787,0.4696707839164744
2620.0,1323.0,1.947069026524546,1.5355568040072667,0.5064071235767607
2621.0,1323.0,1.9560238219718102,1.5419750402081236,0.4886308275150258
2622.0,1323.0,1.9378148730546418,1.5341908818521597,0.47906554492507625
2623.0,1323.0,1.9381328639007918,1.5467212124944432,0.4832940970531481
2624.0,1323.0,2.001695696143332,1.5977982946124927,0.47751336136652955
2625.0,1323.0,1.9147113833471605,1.5233136012036539,0.49617773293670536
2626.0,1323.0,1.9426974751778094,1.5410340493410668,0.4842783939850646
2627.0,1323.0,1.95128028096652,1.5448390500625175,0.46422683957624467
2628.0,1323.0,1.9355523485250534,1.5338774347833084,0.4709514905983926
2629.0,1323.0,1.9483241405226779,1.556765329441513,0.46741295769271496
2630.0,1323.0,1.9214558236734247,1.503179484934486,0.4900575754786953
2631.0,1323.0,2.013013662225194,1.5933769872505903,0.4775794697026828
2632.0,1323.0,1.9089712919247797,1.5038619734586764,0.4715542253958092
2633.0,1323.0,1.959953620431402,1.5559321388624003,0.5118618842382282
2634.0,1323.0,1.9990563916251103,1.5907055256682174,0.47004449943919724
