season,worldId,teamId,teamName,teamPower,matches,formationName,playerOverall,slotRank,slotFloor,slotTop,slotAvg,formationScore,coach
2623,12,5760603,まるちゃんFC,78.16294175985257,7,バイエルン 2000-01,67.7547705149603,86.88656048770828,60.55936376357228,100.0,59.93720728230671,2.9612242340245367,1.591936004592309
2622,12,5760603,まるちゃんFC,78.04439904621265,7,バイエルン 2000-01,67.20815102789606,89.18597742127155,68.99055918663761,100.0,60.294351855837995,2.7165950746199,1.4692752180421653
2619,12,5760603,まるちゃんFC,77.9836114480895,7,バイエルン 2000-01,67.11523432815171,90.15646662705488,63.90704429920117,100.0,61.48388345960081,2.901814970957431,1.455973525276075
2621,9,5728002,ジデンFC,77.6952467167221,6,バイエルン 2000-01,67.09731600929148,89.24346284461063,60.559363763572286,100.0,60.87386088996127,2.9464651472038064,1.509202254303597
2621,12,5760603,まるちゃんFC,77.6952467167221,7,バイエルン 2000-01,67.09731600929148,89.24346284461065,60.55936376357228,100.0,60.87386088996128,2.9464651472038064,1.509202254303597
2620,12,5760603,まるちゃんFC,76.68450538410771,7,バイエルン 2000-01,67.04023280449127,85.50014733658925,55.47584887613583,100.0,60.82908667520395,2.8312940712652,1.3742042544821833
2621,2,4481001,湘南マイティー,76.44492641064399,5,チェルシー 2004-05,66.95917583017446,90.57239057239057,74.07407407407408,100.0,63.41313896496333,1.3622615030278196,0.1402560888938439
2619,2,4481001,湘南マイティー,76.39288187252627,7,チェルシー 2004-05,66.79469877642708,90.57239057239056,74.07407407407406,100.0,63.82635309700316,1.4617682541214203,0.2977904230397011
2623,6,5806702,Rユース,75.67428546157896,7,バイエルン 2000-01,65.80887613311002,84.52965813080588,60.55936376357228,100.0,58.52083277896655,2.9612242340245367,1.591936004592309
2616,13,6648601,バナントンガラグ,75.05816367847711,4,イタリア 2012,74.47219620499487,45.11784511784512,0.0,84.44444444444444,55.6298212567799,1.767950723804545,1.5318375209828876
2619,17,6098104,04LS,75.03172261816289,7,バイエルン 2000-01,65.15413158723814,86.5580723543421,59.35490727456295,100.0,59.30316707631471,2.901814970957431,1.455973525276075
2616,12,5760603,まるちゃんFC,74.92983976232932,7,バイエルン 2000-01,65.07735036056202,85.44266191325016,63.90704429920117,100.0,59.338309909789814,2.776841894931827,1.5318375209828878
2616,21,9147601,舞浜レンガパン,74.92983976232932,7,バイエルン 2000-01,65.07735036056202,85.44266191325016,63.90704429920117,100.0,59.338309909789814,2.776841894931827,1.5318375209828878
2620,2,4481001,湘南マイティー,74.91903074743462,7,チェルシー 2004-05,66.9005261688004,84.52965813080588,60.55936376357228,100.0,62.84728559908457,1.4802778918198831,0.32235173100897424
2623,17,4698104,東京C エスペリオン,74.83366733362215,7,リバプール 2004-05,69.11073241960865,80.91276914806328,33.717190579935675,100.0,59.17385733422941,1.174902853323822,0.6269011159436332
2617,12,5760603,まるちゃんFC,74.82766802013185,7,バイエルン 2000-01,65.2459809932334,83.14324497968688,55.47584887613583,100.0,58.54249051878776,3.17477704335186,1.6144304160468432
2618,12,5760603,まるちゃんFC,74.67047724251977,4,バイエルン 2000-01,65.1810201734903,85.50014733658924,55.47584887613582,100.0,60.03817907309136,2.8932758943315324,1.636513430062933
2623,9,5728002,ジデンFC,74.64453500367821,3,バイエルン 2000-01,64.89596905616337,84.52965813080593,60.559363763572286,100.0,59.0738023573743,2.9612242340245363,1.5919360045923086
2622,9,5728002,ジデンFC,74.62762671935441,4,バイエルン 2000-01,64.43945177694205,86.82907506436919,68.99055918663761,100.0,59.43310404713668,2.7165950746199004,1.4692752180421653
2621,20,9690501,はしばっちFC 99,74.57634003899302,7,バイエルン 2000-01,64.3323043925552,89.24346284461065,60.55936376357228,100.0,59.545949589514,2.9464651472038064,1.509202254303597
2623,20,8046501,イタリアンサンドF,74.49475255875586,6,イタリア 2012,71.18877033897637,70.37037037037038,0.0,100.0,59.91520063407301,1.7630392896107558,1.591936004592309
2620,17,6098104,04LS,74.26186735716036,6,バイエルン 2000-01,65.35886773865643,82.4965339671222,53.10457516339869,100.0,58.822372972924946,2.8312940712651997,1.3742042544821833
2618,3,8375901,ゆるりん,74.22448665826182,4,ビアンコネーロ 2002-03,64.78608389545138,86.88656048770827,60.559363763572286,100.0,59.57548634119212,2.521549267794201,1.2614668858403233
2621,17,4698104,東京C エスペリオン,74.15705816806317,6,リバプール 2004-05,68.39190095494502,82.56420413283159,36.06874848704914,100.0,59.278243419698434,1.0093481984873847,1.3255543842882445
2619,9,5728002,ジデンFC,74.15617223847251,7,バイエルン 2000-01,64.42409077508547,86.41315111903349,58.82352941176471,100.0,59.593646894185554,2.901814970957431,1.455973525276075
2619,1,6579701,Rコンシェルジュ,74.00295738439121,3,バイエルン 2000-01,63.405010516917706,89.18597742127155,68.99055918663761,100.0,59.40716791632253,2.9018149709574304,1.4559735252760746
2620,20,9690501,はしばっちFC 99,73.96689443512062,7,バイエルン 2000-01,64.44973755376621,84.52965813080588,60.55936376357228,100.0,59.46366556874774,2.8312940712652,1.3742042544821833
2622,2,4481001,湘南マイティー,73.90282107903913,7,チェルシー 2004-05,64.8248199861873,88.55218855218855,74.07407407407406,100.0,63.616198253815945,1.4496110853998996,0.3325849192880783
2623,8,8405701,ガンバル部,73.78616762462184,7,バイエルン 2000-01,64.78539204933487,82.48784967188514,53.072732747529486,100.0,57.215581030688504,2.9612242340245367,1.591936004592309
2623,1,6579701,Rコンシェルジュ,73.75448563560266,5,バイエルン 2000-01,63.6652863444679,85.91607128192494,65.64287865100873,100.0,58.58795973947215,2.9612242340245363,1.5919360045923088
2622,1,6579701,Rコンシェルジュ,73.70971810139949,7,バイエルン 2000-01,63.18407093942575,88.21548821548822,74.07407407407406,100.0,58.33012686609619,2.7165950746199,1.4692752180421653
2622,20,9690501,はしばっちFC 99,73.50175210938306,6,バイエルン 2000-01,64.5609354508336,82.44536871987853,57.49213265553134,99.1358024691358,58.183031690718515,2.731019632245676,1.4692752180421653
2622,5,9694401,MARS,73.45988483769783,4,チェルシー 2004-05,64.46933981415818,88.21548821548822,74.07407407407408,100.0,63.52376638722585,1.4496110853998996,0.3325849192880783
