review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r63,26,ユーゴスラビア 1994,10,16,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r64,26,ユーゴスラビア 1994,10,45,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r65,28,アルゼンチン 2001,7,11,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r66,28,アルゼンチン 2001,7,65,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r67,28,アルゼンチン 2001,8,59,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r68,28,アルゼンチン 2001,8,96,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r69,29,ウルグアイ 2002,9,3,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r70,29,ウルグアイ 2002,9,4,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r71,32,クリスマス・ツリー,4,1,2046,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r72,32,クリスマス・ツリー,4,29,1351,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r73,32,クリスマス・ツリー,8,8,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r74,32,クリスマス・ツリー,8,23,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r75,32,クリスマス・ツリー,8,13,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r76,32,クリスマス・ツリー,8,56,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r77,32,クリスマス・ツリー,9,21,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r78,32,クリスマス・ツリー,9,49,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r79,35,マドリード 2001-02,9,7,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r80,35,マドリード 2001-02,9,26,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r81,35,マドリード 2001-02,11,30,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r82,35,マドリード 2001-02,11,38,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r83,36,ヴァレンシア 2003-04,9,10,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r84,36,ヴァレンシア 2003-04,9,18,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r85,37,アーセナル 2003-04,7,15,1850,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r86,37,アーセナル 2003-04,7,21,1235,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r87,37,アーセナル 2003-04,9,17,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r88,37,アーセナル 2003-04,9,26,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r89,38,チェルシー 2004-05,7,50,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r90,38,チェルシー 2004-05,7,75,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
