season,worldId,teamId,teamName,score,rawStrength,lineupComponent,formationComponent,coachComponent,matches,formation,coach
2621,17,4698104,東京C エスペリオン,85.54618512168966,2.396676408116428,0.34525216455547736,1.3990640813765385,0.2439207953363863,6,リバプール 2004-05,タウンゼント
2623,17,4698104,東京C エスペリオン,84.76746367169453,2.344171664743594,0.33609247830230415,1.3990640813765385,0.24392079533638628,7,リバプール 2004-05,タウンゼント
2623,20,8046501,イタリアンサンドF,83.45052872395338,2.255378256689537,0.3439731170305538,1.7302257745769964,0.1061933808619606,6,イタリア 2012,敏林　浩
2619,17,4698104,東京C エスペリオン,82.22327235950145,2.1726313637297654,0.2322981632761094,1.3990640813765385,0.532048063479592,6,リバプール 2004-05,Ｍ・フィルマーニ
2620,17,4698104,東京C エスペリオン,82.22327235950145,2.1726313637297654,0.2322981632761094,1.3990640813765385,0.532048063479592,7,リバプール 2004-05,Ｍ・フィルマーニ
2617,11,2701103,ガウディ,80.26668728614736,2.040709998055023,0.2953104612766726,0.5037810102481662,0.32239038687102967,4,ブラジル 2006,ルビーニョ
2622,17,4698104,東京C エスペリオン,80.12922833412202,2.031441925369425,0.2909361490791471,1.3990640813765385,0.20725262498456196,7,リバプール 2004-05,タウンゼント
2616,13,6648601,バナントンガラグ,78.52322659439905,1.9231583931757172,0.2860158826669805,1.7302257745769962,0.1061933808619606,4,イタリア 2012,敏林　浩
2623,18,5084404,俺か俺以外か,78.10817956087372,1.8951741402916604,0.25776286104796914,1.3990640813765385,0.24392079533638628,7,リバプール 2004-05,タウンゼント
2622,11,5086103,D-kichi,77.47468092964323,1.8524609428318937,0.25031135357514667,1.3990640813765385,0.2439207953363863,5,リバプール 2004-05,タウンゼント
2616,11,2701103,ガウディ,75.69797923098731,1.7326680865562774,0.24157117829188735,0.5037810102481662,0.32239038687102967,4,ブラジル 2006,ルビーニョ
2618,4,8067501,ポテチ,75.11012065936526,1.6930321378576383,0.24586933281407994,1.7302257745769967,0.1061933808619606,7,イタリア 2012,敏林　浩
2621,19,5172404,FCフォルテ,74.79686507503723,1.6719111014904584,0.3166794032115745,-1.2482922343028975,0.2344575946139582,4,チェルシー 2014-15,ザイド・ファタラ
